sex,age,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,total_grades,legal_drinker,school_MS,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation
female,18,1,0,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6,6,17,1,False,False,False,False,False,False,False,False,True,False,False,False
female,17,1,1,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5,5,6,16,0,False,False,False,False,False,False,True,False,False,False,False,False
female,15,0,1,1,1,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10,25,0,False,False,False,False,False,False,True,False,False,False,True,False
female,15,1,1,4,2,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,14,15,44,0,False,True,False,False,False,False,False,True,False,True,False,False
female,16,1,1,3,3,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,10,26,0,False,False,True,False,False,False,True,False,False,True,False,False
male,16,0,1,4,3,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15,15,45,0,False,False,False,True,False,False,True,False,False,False,False,True
male,16,0,1,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11,35,0,False,False,True,False,False,False,True,False,False,True,False,False
female,17,1,0,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,5,6,17,0,False,False,True,False,False,False,False,False,True,True,False,False
male,15,0,0,3,2,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,19,53,0,False,False,False,True,False,False,True,False,False,True,False,False
male,15,1,1,3,4,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15,15,44,0,False,False,True,False,False,False,True,False,False,True,False,False
female,15,1,1,4,4,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9,27,0,False,False,False,False,True,True,False,False,False,False,False,True
female,15,1,1,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12,34,0,False,False,False,True,False,False,True,False,False,False,False,True
male,15,0,1,4,4,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,14,42,0,False,True,False,False,False,False,False,True,False,False,False,False
male,15,1,1,4,3,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11,31,0,False,False,False,False,True,False,True,False,False,False,False,False
male,15,1,0,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16,16,46,0,False,False,True,False,False,False,True,False,False,True,False,False
female,16,1,1,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14,42,0,False,True,False,False,False,False,True,False,False,True,False,False
female,16,1,1,4,4,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,14,41,0,False,False,False,True,False,False,False,True,False,False,False,True
female,16,1,1,3,3,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,8,10,10,28,0,False,False,True,False,False,False,True,False,False,False,False,True
male,17,1,1,3,2,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,6,5,5,16,0,False,False,False,True,False,False,False,True,False,False,False,False
male,16,0,1,4,3,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10,10,28,0,False,True,False,False,False,False,True,False,False,True,False,False
male,15,1,1,4,3,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,15,42,0,False,False,False,False,True,False,True,False,False,False,False,True
male,15,1,1,4,4,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,12,15,15,42,0,False,True,False,False,False,True,False,False,False,False,True,False
male,16,0,1,4,2,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15,15,16,46,0,False,False,False,False,True,False,True,False,False,False,False,False
male,16,0,1,2,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12,38,0,False,False,True,False,False,False,True,False,False,False,False,True
female,15,1,1,2,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9,8,27,0,False,False,False,True,False,True,False,False,False,False,False,False
female,16,1,1,2,2,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,6,9,8,23,0,False,False,False,True,False,False,False,True,False,True,False,False
male,15,1,1,2,2,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,11,35,0,False,False,True,False,False,False,True,False,False,True,False,False
male,15,1,1,4,2,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,16,15,46,0,False,True,False,False,False,False,False,True,False,False,True,False
male,16,0,0,3,4,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,11,11,33,0,False,False,False,True,False,False,True,False,False,True,False,False
male,16,1,1,4,4,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,10,12,11,33,0,False,False,False,False,True,False,False,False,True,True,False,False
male,15,1,1,4,4,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11,12,32,0,False,True,False,False,False,False,False,True,False,True,False,False
male,15,1,1,4,4,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,16,17,50,0,False,False,False,True,False,False,False,True,False,False,False,True
male,15,1,1,4,3,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17,16,16,49,0,False,False,False,False,True,False,False,False,False,False,False,False
male,15,0,1,3,3,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,8,10,12,30,0,False,False,True,False,False,False,True,False,False,False,False,False
male,16,1,1,3,2,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,12,14,15,41,0,False,False,True,False,False,False,True,False,False,True,False,False
female,15,1,1,2,3,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,8,7,6,21,0,False,False,True,False,False,False,True,False,False,False,True,False
male,15,0,1,4,3,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,15,16,18,49,0,False,False,False,False,True,False,False,True,False,True,False,False
male,16,1,0,4,4,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15,16,15,46,0,False,False,True,False,False,False,False,False,True,False,False,True
female,15,1,1,3,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,12,12,11,35,0,False,False,False,True,False,True,False,False,False,False,False,False
female,15,1,1,2,2,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,14,13,13,40,0,False,False,False,False,False,False,True,False,False,False,False,True
female,16,0,1,2,2,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,7,10,11,28,0,False,False,True,False,False,False,True,False,False,True,False,False
male,15,0,1,4,4,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,12,12,12,36,0,False,False,False,False,True,False,True,False,False,True,False,False
male,15,1,1,4,4,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,19,18,18,55,0,False,False,False,True,False,False,False,False,True,False,False,False
male,15,1,1,2,2,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,8,8,11,27,0,False,False,False,True,False,False,False,True,False,False,False,False
female,16,0,1,2,2,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,10,9,29,0,False,False,True,False,False,False,False,False,False,False,False,False
female,15,0,0,4,3,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,8,8,6,22,0,False,False,True,False,False,False,True,False,False,False,False,False
female,16,0,0,3,3,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,11,12,11,34,0,False,False,True,False,False,False,False,True,False,True,False,False
male,16,1,1,4,3,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19,19,20,58,0,False,True,False,False,False,False,False,True,False,False,False,True
male,15,1,1,4,2,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,15,15,14,44,0,False,False,False,False,True,False,True,False,False,True,False,False
female,15,1,1,4,4,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,7,7,7,21,0,False,False,False,True,False,False,False,False,True,False,True,False
female,16,0,1,2,2,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,12,13,13,38,0,False,False,False,True,False,False,False,True,False,False,False,False
female,15,0,1,4,2,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,11,13,13,37,0,False,True,False,False,False,False,True,False,False,False,True,False
male,15,0,0,4,2,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,11,11,10,32,0,False,True,False,False,False,True,False,False,False,False,True,False
female,15,1,1,4,4,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,8,10,11,29,0,False,False,False,True,False,False,False,True,False,False,False,False
female,15,0,0,3,3,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,10,13,13,36,0,False,False,True,False,False,False,True,False,False,False,True,False
female,16,1,0,2,1,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,8,9,10,27,0,False,False,True,False,False,False,True,False,False,False,True,False
female,15,1,0,4,3,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,14,15,15,44,0,False,False,False,True,False,False,False,True,False,False,False,True
male,15,1,1,4,4,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,14,15,15,44,0,False,False,False,False,True,True,False,False,False,False,False,True
male,15,0,1,1,2,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9,10,9,28,0,False,False,True,False,False,False,False,False,False,True,False,False
female,16,1,1,4,2,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15,16,16,47,0,False,False,False,True,False,False,True,False,False,False,False,False
female,16,1,1,4,4,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,10,11,11,32,0,False,True,False,False,False,False,False,False,True,False,True,False
female,16,1,1,1,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,10,8,11,29,0,False,False,False,True,False,False,False,True,False,False,False,False
